Nombre del problema,Tipo,Prioridad,URL,% del total,Descripción,Cómo solucionar,URL de ayuda
Enlaces: Texto de anclaje no descriptivo en enlaces de salida internos,Oportunidad,Baja,95,79.83,"Páginas que tienen enlaces de salida internos con texto de hipervínculo no descriptivo, como ""haz clic aquí"" o ""más información"", en función de las preferencias establecidas en ""Configuración > SEO Spider > Preferencias"". Se denomina texto de hipervínculo a las palabras visibles que se usan en los hipervínculos para que los usuarios y motores de búsqueda tengan contexto sobre el contenido de la página de destino. Los enlaces de salida internos con texto de hipervínculo no descriptivo pueden consultarse en la pestaña ""Enlaces de salida"" estableciendo el filtro de ""Todos los tipos de enlaces"" en ""Hipervínculos"", donde la columna ""Texto de hipervínculo"" contiene palabras como ""haz clic aquí"" o ""más información"". Exporta en masa a través de ""Exportación en masa > Enlaces > Texto de hipervínculo no descriptivo en enlaces de salida internos"".","Revisa el texto de anclaje no descriptivo en los enlaces salientes y, cuando proceda, actualízalos para incluir un texto de anclaje útil y descriptivo que ayude a proporcionar contexto tanto a los usuarios como a los motores de búsqueda.",
Títulos de página: Más de 60 caracteres,Oportunidad,Media,51,42.86,Páginas que tienen títulos de página que superan el límite configurado. Los caracteres que superen este límite podrían cortarse en los resultados de búsqueda de Google y tener menos peso en la clasificación.,Escribe títulos de página concisos para asegurarte de que las palabras importantes no se cortan en los resultados de búsqueda y evitar así que sean invisibles a ojos de los usuarios y que su clasificación se vea afectada.,
Meta description: Duplicado,Oportunidad,Baja,4,3.36,"Páginas que tienen meta descripciones duplicadas. Es realmente importante tener meta descripciones distintas y únicas que comuniquen las ventajas y el propósito de cada página. Si están duplicadas o son irrelevantes, los motores de búsqueda las ignorarán en sus fragmentos.","Actualiza las meta descripciones duplicadas según sea necesario para que las páginas importantes contengan títulos únicos y descriptivos para los usuarios y los motores de búsqueda. Si se trata de páginas duplicadas, arréglalas enlazándolas a una única versión y redirige o utiliza canónicos cuando sea oportuno.",
H2: Múltiple,Aviso,Baja,21,17.65,"Páginas que tienen múltiples <h2>. Esto no es un problema, ya que los estándares HTML permiten múltiples <h2> en una estructura de encabezado jerárquica lógica. Sin embargo, este filtro permite llevar a cabo un rápido escaneo para comprobar si se utilizan de forma adecuada.</h2></h2>","Asegúrate de que los <h2> se utilizan en una estructura jerárquica lógica, actualízalos según sea oportuno recurriendo al rango de encabezado completo (h3 - h6) para los títulos adicionales.",
URL: Mayúscula,Aviso,Baja,2,0.39,"URLs con caracteres en mayúsculas. Las URLs distinguen entre mayúsculas y minúsculas, por lo que es recomendable que las URLs estén en minúsculas para evitar posibles confusiones y URLs duplicadas.","Lo ideal es utilizar únicamente caracteres en minúsculas para las URLs. Sin embargo, todo lo relacionado con la modificación de las URLs entraña decisiones importantes y, a menudo, no vale la pena cambiarlas solo por motivos de SEO. Si se cambian las URLs, hay que implementar las redirecciones 301 adecuadas.",
Códigos de respuesta: Error de cliente externo (4xx),Aviso,Baja,72,9.44,"URL externas con un error del lado del cliente. Esto indica que se ha producido un problema con la solicitud de la URL y se pueden dar respuestas como ""400 - Solicitud errónea"", ""403 - Acceso prohibido"", ""404 - Página no encontrada"", ""410 - Acceso eliminado"" o ""429 - Demasiadas solicitudes"" y más. ""404 - Página no encontrada"" es el más común y a menudo significa enlace roto. Consulta las UIRL enlazadas a errores mediante la pestaña ""enlaces de entrada"" y expórtalas en bloque a través de ""Exportación en bloque > Códigos de respuesta > Externo > Enlaces de entrada de error de cliente (4xx)"".","Lo ideal es que todos los enlaces de un sitio web se resuelvan con URL 200 ""OK"". Errores como ""404 - Enlaces roto"" deben ser actualizados para que los usuarios sean llevados a la URL correcta, o bien eliminados. Un ""403 - Error por acceso prohibido"" se produce cuando un servidor web deniega el acceso a la solicitud de SEO Spider. Es posible resolverlo por lo general cambiando el user-agent a Chrome a través de ""Configuración > User-Agent"" y llevando a cabo de nuevo el rastreo.",
URL: Parámetros,Aviso,Baja,6,1.18,"URLs que incluyen parámetros como ""?"" o ""&amp;"". Esto no supone un problema para que Google u otros motores de búsqueda lleven a cabo el rastreo, a menos que sea a una escala significativa, pero se recomienda limitar el número de parámetros y así hacer que las URLs no resulten complicadas para los usuarios, así como para que tampoco repercuta negativamente en su valor añadido.","Siempre que sea posible, utiliza una estructura de URL estática sin parámetros para las URLs indexables clave. Sin embargo, todo lo relacionado con la modificación de las URLs entraña decisiones importantes y, a menudo, no vale la pena cambiarlas solo por motivos de SEO. Si se cambian las URLs, hay que implementar las redirecciones 301 adecuadas.",
Seguridad: Falta encabezado X-Frame-Options,Aviso,Baja,494,97.24,"URLs que carecen de un encabezado de respuesta ""X-Frame-Options"" con un valor ""DENY"" o ""SAMEORIGIN"". Esto indica al navegador que no debe mostrar páginas dentro de marcos, iframes, incrustaciones u objetos para así evitar en la medida de lo posible ataques de ""clickjacking"", que hace que el contenido se muestre en otra página web controlada por un atacante.","Para minimizar los problemas de seguridad, el encabezado de respuesta ""X-Frame-Options"" ha de ir suministrado con un valor ""DENY"" o ""SAMEORIGIN"".",
Títulos de página: Duplicado,Oportunidad,Media,6,5.04,"Páginas que tienen títulos de página duplicados. Es muy importante tener títulos de página distintos y únicos para cada página. Si todas las páginas tienen el mismo título, los usuarios y los motores de búsqueda no podrán distinguir una página de otra.","Actualiza los títulos de las páginas duplicadas según sea necesario para que cada página contenga un título único y descriptivo para los usuarios y los motores de búsqueda. Si se trata de páginas duplicadas, arréglalas enlazándolas a una única versión y redirige o utiliza canónicals cuando sea oportuno.",
Imágenes: Falta atributo ALT,Problema,Baja,9,1.79,"Imágenes a las que les falta el atributo alt. Haz clic en la dirección (URL) de la imagen y, a continuación, en la pestaña ""Detalles de la imagen"" del panel inferior de la ventana para descubrir qué páginas tienen la imagen y les faltan atributos alt. Todas las imágenes deben contener un atributo alt con texto descriptivo o directamente nada si se trata de una imagen decorativa.","Incluye atributos alt con texto alternativo descriptivo en las imágenes para ayudar a los usuarios y a los motores de búsqueda a entenderlas mejor. Siempre que sea posible, se han de proporcionar las imágenes decorativas con imágenes de fondo CSS o añadir un texto alternativo nulo (alt="""") para que sean ignoradas por tecnologías de asistencia tales como los lectores de pantallas.",
Meta description: Menos de 400 píxeles,Oportunidad,Baja,37,31.09,"Páginas con meta descripciones mucho más cortas que el límite de píxeles estimado por Google. Esto no es necesariamente un problema, pero indica que podría haber espacio para comunicar ventajas, propuestas de venta únicas o llamadas a la acción.","Plantéate la posibilidad de actualizar la meta descripción y aprovechar el espacio que queda para incluir ventajas adicionales, propuestas de venta únicas o llamadas a la acción con el fin de aumentar el tráfico.",
H2: No secuencial,Aviso,Baja,91,76.47,"Páginas con un <h2> que no sea el segundo nivel de encabezado de la página tras <h1>. Los elementos de encabezado deberían aparecer en un orden secuencialmente descendente y lógico. El objetivo de los elementos de encabezado es mostrar la estructura de la página, por lo que deberían ordenarse de forma lógica del <h1> al <h6>. De este modo, la navegación por la página es más sencilla y los usuarios pueden utilizar tecnologías de asistencia.","Asegúrate de que el <h2> sea el segundo encabezado de la página. Los encabezados deberían aparecer en un orden secuencial lógico del <h1> al <h6>. Revisa y actualiza los niveles de encabezado de la página para que estén en orden descendente; por ejemplo, después de un <h1>, el siguiente elemento de encabezado debería ser un <h2> y no un <h3>.",
Contenido: Marcador de posición Lorem Ipsum,Aviso,Alta,1,0.84,"Páginas que contienen texto ""Lorem ipsum"", habitualmente utilizado como marcador de posición para mostrar una página web de forma visual. Cabe la posibilidad de que quede en algunas páginas web por error, sobre todo cuando se crean sitios web nuevos.","Revisa las páginas que contengan texto ""Lorem ipsum"" y asegúrate de que se han sustituido todos los marcadores de posición por el texto exclusivo, original y pertinente de la página web en cuestión.",
Enlaces: Páginas con muchos enlaces de salida externos,Aviso,Baja,6,5.04,"Páginas que tienen un alto número de enlaces salientes externos seguidos conforme a las preferencias de ""Gran cantidad de enlaces de salida externos"" en ""Configuración > Analizar > Preferencias"". Los enlaces salientes externos son hipervínculos que dirigen a otro subdominio o dominio (dependiendo de tu configuración). Esto puede ser completamente válido, como cuando se vincula a otra parte del mismo dominio raíz o a otros sitios web útiles. Los enlaces salientes externos seguidos se pueden ver en la pestaña ""Enlaces salientes"" con el filtro ""Todos los tipos de enlaces"" establecido en ""Hipervínculos"", donde la columna ""Seguir"" presenta el valor ""Verdadero"".","Revisa los enlaces salientes externos seguidos para asegurarte de que llevan a sitios web creíbles, fiables y relevantes que sean útiles para tus usuarios.",
Imágenes: Más de 100 KB,Oportunidad,Media,310,61.63,"Imágenes grandes que superan un umbral de tamaño. La velocidad de la página es extremadamente importante para los usuarios y para el SEO y a menudo los recursos grandes como las imágenes provocan ralentizaciones durante la carga de las páginas web. Este filtro actúa simplemente a modo de regla general para ayudar a identificar las imágenes que tienen un tamaño de archivo un tanto excesivo y que, por tanto, pueden tardar más en cargarse. Es conveniente plantearse su optimización y no perder de vista las oportunidades identificadas en la pestaña PageSpeed, que utiliza la API PSI y Lighthouse para auditar la velocidad. De este modo, resultará más fácil identificar las imágenes de un tamaño exagerado, que se cargan fuera de la pantalla, que no están optimizadas, etc.","Las imágenes sin comprimir sobrecargan las páginas de bytes innecesarios, así que asegúrate de que las imágenes estén optimizadas con compresión, se encuentren escaladas adecuadamente y empleen el formato más propicio de imagen para reducir su tamaño en la medida de lo posible.",
Enlaces: Enlaces de salida Nofollow internos,Aviso,Baja,8,6.72,"Páginas que utilizan rel=""nofollow"" en los enlaces salientes internos. Por norma general, los motores de búsqueda no seguirán los enlaces con atributos de enlace nofollow. Recuerda que las páginas vinculadas se pueden encontrar por otros medios, como con otros enlaces seguidos, sitemaps XML, etc. Los enlaces salientes nofollow se pueden ver en la pestaña ""Enlaces salientes"" con el filtro ""Todos los tipos de enlaces"" establecido en ""Hipervínculos"", donde la columna ""Seguir"" presenta el valor ""Falso"". Exporta en bloque a través de ""Exportación en bloque > Enlaces > Enlaces de salida Nofollow internos"".","Revisa el uso de rel=""nofollow"" en los enlaces internos. Estos podrían ser válidos para las URLs que idealmente no se rastrearían o por error. Elimina el atributo de enlace nofollow para rastrear e indexar las URLs importantes que desee y recibir PageRank.",
Seguridad: Falta encabezado HSTS,Aviso,Baja,495,97.44,"URLs a las que les falta el encabezado de respuesta HSTS. El encabezado de respuesta HSTS (HTTP Strict-Transport-Security, por sus siglas en inglés) indica a los navegadores que el acceso solo ha de realizarse mediante HTTPS, no HTTP. Si un sitio web acepta una conexión vía HTTP antes de efectuar una redirección a HTTPS, sus visitantes seguirán comunicándose inicialmente a través de HTTP. El encabezado HSTS indica al navegador que nunca cargue a través de HTTP y que convierta automáticamente todas las solicitudes a HTTPS.","El encabezado HSTS debería utilizarse en todas las páginas para indicar a los navegadores que siempre deben solicitar el acceso a las mismas a través de HTTPS, no de HTTP.",
URL: Más de 115 caracteres,Oportunidad,Baja,9,1.77,"URLs que superan la longitud configurada. Esto no suele suponer un problema, pero unos estudios han demostrado que los usuarios prefieren cadenas de URL más cortas y concisas.","Siempre que sea posible, utiliza URL lógicas y concisas para el bien de los usuarios y de los motores de búsqueda. Sin embargo, todo lo relacionado con la modificación de las URLs entraña decisiones importantes y, a menudo, no vale la pena cambiarlas solo por motivos de SEO. Si se cambian las URLs, hay que implementar las redirecciones 301 adecuadas.",
H1: Falta,Problema,Media,3,2.52,"Páginas en las que falta <h1>, el contenido está vacío o hay un espacio en blanco. Los <h1> deben describir el título principal y el propósito de la página. Además, su importancia en materia de clasificación en páginas es primordial.","Asegúrate de que las páginas importantes tengan encabezados concisos, descriptivos y únicos para ayudar a los usuarios y permitir a los motores de búsqueda puntuar y clasificar las páginas en consultas de búsqueda relevantes.",
Meta description: Más de 985 píxeles,Oportunidad,Baja,34,28.57,"Páginas cuyas meta descripciones superan el límite de longitud en píxeles estimado por Google para los fragmentos. La longitud del fragmento de Google depende en realidad de los límites de píxeles, no en la longitud de caracteres. SEO Spider trata de hacer coincidir los últimos puntos de truncamiento de píxeles en las SERP, pero es una aproximación y Google los ajusta con frecuencia.",Escribe meta descripciones concisas para asegurarte de que las palabras importantes no se cortan en los resultados de búsqueda y evitar así que sean invisibles a ojos de los usuarios.,
Títulos de página: Falta,Problema,Alta,2,1.68,"Páginas a las que les falta un elemento de título de página o que, a nivel de título de página, presentan un contenido vacío o tienen un espacio en blanco. Los títulos de página son leídos y útiles tanto para usuarios como para motores de búsqueda a la hora de entender de qué tratan las páginas. También son importantes a efectos de SEO en cuanto a clasificaciones y experiencia del usuario se refiere, ya que aparecen en los navegadores, en los resultados de los motores de búsqueda y en las redes sociales.","Es esencial escribir títulos de página concisos, descriptivos y únicos en cada URL indexable para ayudar a los usuarios y permitir a los motores de búsqueda puntuar y clasificar las páginas en consultas de búsqueda relevantes.",
Contenido: Páginas con poco contenido,Oportunidad,Media,6,5.04,"Páginas con un recuento de palabras inferior a las 200 palabras por defecto. El número de palabras se basa en la configuración del área de contenido utilizada en el análisis, cuya configuración es posible en ""Configuración > Contenido > Área"". En realidad, no hay un número mínimo de palabras para las páginas, pero los motores de búsqueda requieren un texto descriptivo para entender el propósito de las mismas. Este filtro solo debe utilizarse a modo de guía para, a grandes rasgos, identificar las páginas que se pueden mejorar añadiendo más contenido descriptivo en el contexto del sitio web y del propósito. Algunos sitios web como, por ejemplo, los de comercio electrónico, tendrán naturalmente un menor número de palabras, lo cual puede llegar a ser aceptable si los detalles de los productos son comunicados de manera eficiente.",Plantéate la posibilidad de incluir contenido descriptivo adicional para ayudar a los usuarios y a los motores de búsqueda a entender mejor la página.,
Títulos de página: Igual que H1,Oportunidad,Baja,57,47.9,"Títulos de página que coinciden exactamente con el h1 de la página. Esto no es necesariamente un problema, pero puede presentar la oportunidad potencial de añadir u optimizar con palabras clave alternativas, sinónimos o frases clave relacionadas.","Esto no es necesariamente un problema, pero puede presentar la oportunidad potencial de añadir u optimizar palabras clave alternativas, sinónimos o frases clave relacionadas.",
URL: Contiene espacio,Problema,Baja,2,0.39,URLs que contienen un espacio. Se consideran no seguras y pueden provocar una rotura del enlace al compartir la URL. Se han de utilizar guiones a modo de separadores de palabras en lugar de espacios.,"Lo ideal es utilizar guiones medios a modo de separadores de palabras en lugar de espacios.  Sin embargo, todo lo relacionado con la modificación de las URLs entraña decisiones importantes. Si se cambian las URLs, hay que aplicar las redirecciones 301 adecuadas.",
Meta description: Falta,Oportunidad,Baja,9,7.56,"Páginas en las que falta la meta descripción o que, a nivel de la misma, el contenido está vacío o tiene un espacio en blanco. No es sino una oportunidad perdida a la hora de comunicar las ventajas de tu producto o servicio y generar más tráfico en las URLs importantes.","Es importante escribir meta descripciones únicas y descriptivas en las páginas clave para comunicar el propósito de la página a los usuarios y seducirlos para que hagan clic en ella y no en una de la competencia. Google también puede utilizarlas para los fragmentos mostrados en los resultados de algunas consultas, que a veces, cuando no disponen de dicha información, directamente añaden una a partir del contenido de la página.",
Imágenes: Falta texto ALT,Problema,Baja,61,12.13,"Imágenes que tienen un atributo alt, pero a las que les falta el texto alt. Haz clic en la dirección de la imagen y, luego, en la pestaña ""Detalles de la imagen"" en el panel inferior de la ventana para descubrir qué páginas tienen la imagen y les falta el texto alternativo. Las imágenes deben tener un texto alternativo descriptivo sobre su propósito que ayude a los ciegos y a los discapacitados visuales, así como a los motores de búsqueda, para que la entiendan e identifiquen su relevancia en el conjunto del sitio.","Incluye un texto alternativo descriptivo en las imágenes para ayudar a los usuarios y a los motores de búsqueda a entenderlas mejor. Siempre que sea posible, se han de proporcionar las imágenes decorativas con imágenes de fondo CSS o añadir un texto alternativo nulo (alt="""") para que sean ignoradas por tecnologías de asistencia tales como los lectores de pantallas.",
Meta description: Menos de 70 caracteres,Oportunidad,Baja,39,32.77,"Páginas que tienen meta descripciones por debajo del límite configurado. Esto no es un problema en sentido estricto, sino una oportunidad. Hay espacio adicional para comunicar ventajas, propuestas de venta únicas o llamadas a la acción.","Plantéate la posibilidad de actualizar la meta descripción y aprovechar el espacio que queda para incluir ventajas adicionales, propuestas de venta únicas o llamadas a la acción con el fin de aumentar el tráfico.",
Seguridad: Falta encabezado Content-Security-Policy,Aviso,Baja,495,97.44,"URLs a las que les falta el encabezado de respuesta ""Content-Security-Policy"". Este encabezado permite a un sitio web controlar los recursos que se cargan en las páginas. Esta política puede servir de protección frente a ataques de XSS (secuencia de comandos en sitios cruzados) que se valen de la confianza del navegador con respecto al contenido recibido del servidor. SEO Spider solo comprueba la existencia del encabezado y no cuestiona las políticas que alberga para determinar si están bien configuradas en el sitio web. Esto es algo que se ha de realizar manualmente.",Establece un encabezado de respuesta Content-Security-Policy estricto en todas las páginas para ayudar a mitigar los ataques de secuencia de comandos en sitios cruzados y de inyección de datos.,
Canonicals: Canonicalizada,Aviso,Alta,6,5.04,"Páginas que tienen un canonical hacia una URL diferente. La URL se ""canonicaliza"" hacia otra ubicación. Esto significa que se está indicando a los motores de búsqueda que no indexen la página, así como que las propiedades de indexación y de enlace se consoliden en la URL de destino de la canonical.","Se han de revisar cuidadosamente estas URLs para dar por seguro la consolidación en la URL correcta de la indexación y las señales de enlace. Lo ideal sería que los sitios web no necesitaran canonizar ninguna URL al tener únicamente las versiones canónicas enlazadas internamente, pero la realidad es que a menudo necesitan hacerlo debido a circunstancias ajenas y fuera de control, así como para evitar contenidos duplicados. Actualiza los enlaces internos para que representen las versiones canónicas de las URLs siempre que sea posible.",
Imágenes: Atributos de tamaño ausentes,Oportunidad,Baja,490,97.42,"Elementos de imagen sin dimensiones (atributos de tamaño de ancho y alto) especificadas en el HTML. Esto puede provocar cambios de diseño mientras se carga la página, además de resultar frustrante para los usuarios. Es uno de los principales motivos que contribuyen a un alto CLS (cambio de diseño acumulativo).","Define el tamaño de todas las imágenes como nativo con los atributos de ancho y alto que figuran en el HTML. Así, el navegador podrá calcular el espacio que necesita cada imagen antes de que se cargue, lo que evitará que se produzcan grandes cambios de diseño.",
Seguridad: Falta encabezado X-Content-Type-Options,Aviso,Baja,494,97.24,"URLs a las que les falta el encabezado de respuesta ""X-Content-Type-Options"" con un valor ""nosniff"". En ausencia de un tipo MIME, es posible que los navegadores ""escaneen"" a fin de adivinar el tipo de contenido para interpretarlo correctamente para los usuarios. Sin embargo, esta situación podría dar lugar a que posibles atacantes intenten cargar código malicioso (como JavaScript) a través de una imagen saboteada.","Para minimizar los problemas de seguridad, el encabezado de respuesta ""X-Content-Type-Options"" se ha de suministrar y establecer como ""nosniff"" para indicar así a los navegadores que confíen únicamente en este encabezado y bloqueen todo lo que no coincida con exactitud con él. El conjunto de tipos de contenido debe ser preciso ha de ser preciso para ello.",
Enlaces: Enlaces de salida sin texto de anclaje internos,Oportunidad,Baja,10,8.4,"Páginas que tienen enlaces internos sin texto de anclaje ni imágenes hipervinculadas sin texto ALT. El texto de anclaje está compuesto por el texto y las palabras visibles de los hipervínculos que proporcionan a los usuarios y a los motores de búsqueda un contexto sobre el contenido de la página de destino. Los enlaces salientes internos sin texto de anclaje pueden verse en la pestaña ""Enlaces salientes"" con el filtro ""Todos los tipos de enlaces"" establecido en ""Hipervínculos"", donde la columna ""Texto de anclaje"" está en blanco; si es una imagen, la columna ""Texto ALT"" también estará en blanco. Exporta en bloque a través de ""Exportación en bloque > Enlaces > Enlaces de salida sin texto de anclaje internos"".","Revisa los enlaces salientes con texto de anclaje que faltan y, cuando proceda, incluye un texto de anclaje útil y descriptivo para ayudar tanto a los usuarios como a los motores de búsqueda.",
Contenido: Lectura difícil,Oportunidad,Baja,1,0.84,"El texto de la página es difícil de leer y más comprensible entre personas con estudios superiores, según la fórmula para puntuar la facilidad de lectura de Flesch. El texto presenta oraciones largas y utiliza términos complejos que, generalmente, son más difíciles de leer y entender.",Plantéate la posibilidad de mejorar la legibilidad del texto para adaptarlo al público de destino. Los textos que utilizan oraciones más cortas y menos términos complejos suelen ser más fáciles de leer y entender.,
H2: Duplicado,Oportunidad,Baja,101,84.87,"Páginas que tienen <h2> duplicados. Es importante tener páginas distintas, únicas y útiles. Si todas las páginas tienen un mismo <h2>, los usuarios y los motores de búsqueda podrían tener dificultades para distinguir una página de otra.","Actualiza los <h2> duplicados según sea necesario para que las páginas importantes contengan un <h2> único y descriptivo para los usuarios y los motores de búsqueda. Si se trata de páginas duplicadas, arréglalas enlazándolas a una única versión y redirige o utiliza canónicos cuando sea oportuno.",
H1: Duplicado,Oportunidad,Baja,2,1.68,"Páginas que tienen <h1> duplicados. Es importante tener encabezados principales distintos, únicos y útiles. Si todas las páginas tienen un mismo <h1>, los usuarios y los motores de búsqueda podrían tener dificultades para distinguir una página de otra.","Actualiza los <h1> duplicados según sea necesario para que las páginas importantes contengan un <h1> único y descriptivo para los usuarios y los motores de búsqueda. Si se trata de páginas duplicadas, arréglalas enlazándolas a una única versión y redirige o utiliza canónicos cuando sea oportuno.",
Imágenes: Texto ALT superior a 100 caracteres,Oportunidad,Baja,48,9.54,"Imágenes que tienen un texto alternativo que supera un umbral de caracteres de longitud. Esto no es estrictamente un problema, pero el texto alternativo de las imágenes debe ser conciso y descriptivo. No debe utilizarse para introducir muchas palabras clave o párrafos de texto en una página.",Escribe un texto alternativo conciso que sea útil para los usuarios y los motores de búsqueda sin relleno innecesario.,
URL: Guiones bajos,Oportunidad,Baja,2,0.39,URLs con guiones bajos que los motores de búsqueda no siempre consideran separadores de palabras.,"Lo ideal es utilizar guiones medios a modo de separadores de palabras en lugar de guiones bajos. Sin embargo, todo lo relacionado con la modificación de las URLs entraña decisiones importantes y, a menudo, no vale la pena cambiarlas solo por motivos de SEO. Si se cambian las URLs, hay que aplicar las redirecciones 301 adecuadas.",
H1: Más de 70 caracteres,Oportunidad,Baja,27,22.69,"Páginas que tienen <h1> de mayor longitud que la configurada. No hay un límite de caracteres estricto en un <h1>, pero es vital que sean claros y concisos de cara a los usuarios y los encabezados largos pueden hacer un flaco favor a este respecto.","Escribe <h1> concisos para los usuarios, incluyendo palabras clave que funcionen para el público meta y evitando rellenos innecesarios.",
